Date,Open,High,Low,Close,Adj Close,Volume
2017-05-10,197.3699951171875,197.58999633789062,196.52999877929688,196.63999938964844,168.66336059570312,2247700
2017-05-11,196.0399932861328,196.94000244140625,195.25999450683594,196.75,168.7577362060547,1705000
2017-05-12,195.89999389648438,197.1199951171875,195.86000061035156,196.57000732421875,168.60330200195312,1323100
2017-05-15,196.6699981689453,197.74000549316406,196.22999572753906,197.6300048828125,169.51254272460938,1474500
2017-05-16,197.47999572753906,197.94000244140625,196.86000061035156,197.91000366210938,169.75271606445312,1183600
2017-05-17,196.74000549316406,196.74000549316406,194.72000122070312,194.83999633789062,168.11753845214844,1881800
2017-05-18,194.5,195.82000732421875,193.5399932861328,195.24000549316406,168.4627685546875,1929000
2017-05-19,196.3000030517578,196.3000030517578,194.4499969482422,195.8000030517578,168.94595336914062,1894700
2017-05-22,196.35000610351562,198.6699981689453,196.35000610351562,198.50999450683594,171.2842559814453,1835900
2017-05-23,198.72999572753906,198.97000122070312,197.52000427246094,197.72999572753906,170.61122131347656,1514200
2017-05-24,198.49000549316406,198.52999877929688,197.27999877929688,197.49000549316406,170.40414428710938,1206400
2017-05-25,198.41000366210938,199.61000061035156,197.75,199.5399932861328,172.17298889160156,1508000
2017-05-26,199.13999938964844,200.69000244140625,198.97000122070312,200.6699981689453,173.14797973632812,1410600
2017-05-30,200.30999755859375,203.02999877929688,199.9600067138672,202.44000244140625,174.67526245117188,2171100
2017-05-31,202.72999572753906,204.47000122070312,202.27000427246094,204.47000122070312,176.4268341064453,3096800
2017-06-01,204.25,204.89999389648438,203.67999267578125,204.35000610351562,176.32327270507812,2352700
2017-06-02,205.05999755859375,207.38999938964844,204.7899932861328,206.6999969482422,178.35098266601562,1831900
2017-06-05,206.77000427246094,207.3300018310547,206.22000122070312,206.22000122070312,177.93682861328125,1253100
2017-06-06,206.00999450683594,206.66000366210938,205.41000366210938,205.41000366210938,177.23788452148438,1458800
2017-06-07,205.72999572753906,205.8699951171875,204.10000610351562,205.00999450683594,176.89279174804688,1885600
2017-06-08,205.00999450683594,206.02999877929688,204.08999633789062,205.94000244140625,177.69525146484375,2451300
2017-06-09,206.0,206.97000122070312,205.63999938964844,206.92999267578125,178.54942321777344,1893100
2017-06-12,206.92999267578125,208.4199981689453,205.5,207.38999938964844,178.94635009765625,2388200
